,maxAccelX,maxAccelY,maxAccelZ,maxGyroX,maxGyroY,maxGyroZ,minAccelX,minAccelY,minAccelZ,minGyroX,minGyroY,minGyroZ,meanAccelX,meanAccelY,meanAccelZ,meanGyroX,meanGyroY,meanGyroZ,sdAccelX,sdAccelY,sdAccelZ,sdGyroX,sdGyroY,sdGyroZ,lat,lng,pothole
10,4.15625,2.890625,32.0,0.31005859375,0.41162109375,0.25244140625,-4.5625,-3.5,11.65625,-0.59375,-1.7900390625,-0.470703125,-1.659375,-0.725,16.34375,0.002978515625,-0.19482421875,-0.138623046875,2.5492416151671464,1.8702225014316107,5.643223758842202,0.2884223379088053,0.6083961297636588,0.2811577209921866,39.9875303,18.246274199999995,1
11,3.859375,6.4375,30.859375,1.7138671875,3.22021484375,0.8740234375,-2.671875,0.5625,2.296875,-0.9521484375,-1.98974609375,-0.435546875,-0.340625,3.2171875,15.0859375,0.1498046875,0.006982421875,0.182666015625,1.9120585456372523,2.1985885870652586,8.70905053989375,0.7291601198901598,1.5814884723003733,0.4233377756050901,39.9875303,18.246274199999995,1
12,5.609375,7.375,27.265625,0.908203125,1.8193359375,0.97119140625,-4.375,-2.609375,3.5625,-2.44775390625,-1.4658203125,-0.19775390625,0.2375,0.915625,15.2125,-0.41630859375,0.35009765625,0.378759765625,2.8484184055707904,2.8433989404799007,7.119603828904776,0.9801286125127884,0.9663872292998305,0.4025779495158266,39.9875303,18.246274199999995,1
13,2.140625,3.796875,16.84375,0.859375,1.208984375,0.421875,-0.5625,-0.390625,8.84375,-1.02392578125,-1.31640625,-0.8291015625,0.5484375,1.11875,14.4140625,-0.206494140625,-0.257861328125,-0.376220703125,1.02962967191351,1.1582471490719644,2.707604569419301,0.5700523421773588,0.6437185981441208,0.452380229655384,39.9875303,18.246274199999995,1
14,2.0,3.875,21.65625,1.115234375,1.66796875,-0.16552734375,-10.046875,-2.984375,10.8125,-1.21826171875,-1.65380859375,-2.30078125,-3.384375,0.8125,14.26875,0.170166015625,-0.0603515625,-1.147314453125,3.99666337616281,2.273018348626875,3.0041457176800788,0.7245494249923612,0.9829943951032698,0.823014428170499,39.9875303,18.246274199999995,1
15,8.921875,3.109375,16.15625,1.96875,2.76953125,2.552734375,-0.296875,-4.296875,13.390625,-0.025390625,-0.8916015625,-0.0146484375,2.109375,-0.025,15.0640625,0.374658203125,0.1123046875,0.688232421875,3.6013280608802267,2.074096711857692,0.8408982801354289,0.6503424814077132,0.9997540012415322,1.032130889484824,39.9875303,18.246274199999995,1
16,0.0,-0.140625,15.640625,0.005859375,-0.0078125,-0.00537109375,-0.25,-0.375,15.1875,-0.00146484375,-0.0146484375,-0.00927734375,-0.1359375,-0.246875,15.459375,0.003173828125,-0.01201171875,-0.008203125,0.0963330494877594,0.0750433902263661,0.125476522261692,0.0022346240588779,0.0019558357924218,0.0013382034369202,39.9875303,18.246274199999995,0
17,-0.25,-0.140625,15.65625,0.00341796875,-0.01171875,-0.00830078125,-0.28125,-0.328125,15.53125,0.00244140625,-0.013671875,-0.00927734375,-0.253125,-0.159375,15.54375,0.0033203125,-0.0119140625,-0.0091796875,0.0098821176880261,0.0592927061281571,0.0395284707521047,0.0003088161777508,0.0006176323555016,0.0003088161777508,39.9875303,18.246274199999995,0
18,-0.25,-0.140625,15.53125,0.00341796875,-0.01171875,-0.00927734375,-0.25,-0.140625,15.53125,0.00341796875,-0.01171875,-0.00927734375,-0.25,-0.140625,15.53125,0.00341796875,-0.01171875,-0.00927734375,0.0,0.0,0.0,0.0,0.0,0.0,39.9875303,18.246274199999995,0
19,-0.25,-0.140625,15.53125,0.00341796875,-0.01171875,-0.00927734375,-0.25,-0.140625,15.53125,0.00341796875,-0.01171875,-0.00927734375,-0.25,-0.140625,15.53125,0.00341796875,-0.01171875,-0.00927734375,0.0,0.0,0.0,0.0,0.0,0.0,39.9875303,18.2462742,0
